actual,proposed
-8.634302139282227,-8.0
-8.634302139282227,-8.0
-8.64867877960205,-8.0
-8.64867877960205,-8.0
-8.655858993530273,-8.0
-8.655858993530273,-8.0
-8.782989501953125,-8.0
-8.775749206542969,-8.0
-8.76850414276123,-8.0
-8.775749206542969,-8.0
-8.775749206542969,-8.0
-8.722200393676758,-8.0
-8.736632347106934,-8.0
-8.743842124938965,-8.0
-8.729418754577637,-8.0
-8.714977264404297,-8.0
-8.79126262664795,-8.0
-8.784004211425781,-8.0
-8.776740074157715,-8.0
-8.769472122192383,-8.0
-8.776740074157715,-8.0
-8.795136451721191,-8.0
-8.787860870361328,-8.0
-8.773295402526855,-8.0
-8.773295402526855,-8.0
-8.766005516052246,-8.0
-8.751410484313965,-8.0
-8.78587532043457,-8.0
-8.771186828613281,-8.0
-8.749115943908691,-8.0
-8.79182243347168,-8.0
-8.784445762634277,-8.0
-8.784445762634277,-8.0
-8.77706527709961,-8.0
-8.77706527709961,-8.0
-8.776637077331543,-8.0
-8.776637077331543,-8.0
-8.769259452819824,-8.0
-8.754488945007324,-8.0
-8.732295989990234,-8.0
-8.698003768920898,-8.0
-8.668272972106934,-8.0
-8.64592170715332,-8.0
-8.61605167388916,-8.0
-8.617321968078613,-8.0
-8.594791412353516,-8.0
-8.564679145812988,-8.0
-8.549592971801758,-8.0
-8.542043685913086,-8.0
-8.51936149597168,-8.0
-8.516014099121094,-8.0
-8.500802040100098,-8.0
-8.493188858032227,-8.0
-8.470318794250488,-8.0
-8.462685585021973,-8.0
-8.44764518737793,-8.0
-8.432341575622559,-8.0
-8.432341575622559,-8.0
-8.424683570861816,-8.0
-8.350308418273926,-8.0
-8.350308418273926,-8.0
-8.357948303222656,-8.0
-8.365584373474121,-8.0
-8.373214721679688,-8.0
-8.380840301513672,-8.0
-8.235908508300781,-8.0
-8.250985145568848,-8.0
-8.273563385009766,-8.0
-8.296099662780762,-8.0
-8.311100006103516,-8.0
-8.356457710266113,-8.0
-8.378911972045898,-8.0
-8.401322364807129,-8.0
-8.423690795898438,-8.0
-8.431137084960938,-8.0
-8.393301010131836,-8.0
-8.415485382080078,-8.0
-8.452363967895508,-8.0
-8.481781959533691,-8.0
-8.525768280029297,-8.0
-8.464110374450684,-8.0
-8.493075370788574,-8.0
-8.521966934204102,-8.0
-8.543587684631348,-8.0
-8.557978630065918,-8.0
-8.572351455688477,-8.0
-8.53104019165039,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.506413459777832,-8.0
-8.485000610351562,-8.0
-8.477853775024414,-8.0
-8.470703125,-8.0
-8.412928581237793,-8.0
-8.398649215698242,-8.0
-8.39150333404541,-8.0
-8.39150333404541,-8.0
-8.398649215698242,-8.0
-8.309181213378906,-8.0
-8.294936180114746,-8.0
-8.3020601272583,-8.0
-8.31629753112793,-8.0
-8.31629753112793,-8.0
-8.215087890625,-8.0
-8.208011627197266,-8.0
-8.208011627197266,-8.0
-8.215087890625,-8.0
-8.229228973388672,-8.0
